7 1
6 -6 21 21 21 21 21


1

1   120   1   1 2 3 4 5 6 7
1   1   21 21 6 -6 21 21 21   3 6 5 1 7 2 4   6.0
1   1   21 21 6 -6 21 21 21   3 6 5 2 1 7 4   6.0
1   1   21 21 6 -6 21 21 21   3 6 5 2 7 1 4   6.0
1   1   21 21 6 -6 21 21 21   3 6 5 7 1 2 4   6.0
1   1   21 21 6 -6 21 21 21   3 6 5 7 2 1 4   6.0
1   1   21 21 6 -6 21 21 21   3 6 7 1 2 5 4   6.0
1   1   21 21 6 -6 21 21 21   3 6 7 1 5 2 4   6.0
1   1   21 21 6 -6 21 21 21   3 6 7 2 1 5 4   6.0
1   1   21 21 6 -6 21 21 21   3 6 7 2 5 1 4   6.0
1   1   21 21 6 -6 21 21 21   3 6 7 5 1 2 4   6.0
1   1   21 21 6 -6 21 21 21   3 6 7 5 2 1 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 1 2 5 6 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 1 2 6 5 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 1 5 2 6 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 1 5 6 2 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 1 6 2 5 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 1 6 5 2 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 2 1 5 6 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 2 1 6 5 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 2 5 1 6 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 2 5 6 1 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 2 6 1 5 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 2 6 5 1 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 5 1 2 6 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 5 1 6 2 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 5 2 1 6 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 5 2 6 1 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 5 6 1 2 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 5 6 2 1 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 6 1 2 5 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 6 1 5 2 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 6 2 1 5 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 6 2 5 1 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 6 5 1 2 4   6.0
1   1   21 21 6 -6 21 21 21   3 7 6 5 2 1 4   6.0
